Code	Espece
Mal	Bergeronnette_grise
Cca	Chardonneret
Svu	Etourneau_sansonnet
Sat	Fauvette_à_tête_noire
Cbr	Grimpereau_des_jardins
Aap	Martinet_noir
Tme	Merle_noir
Pma	Mésange_charbonnière
Dmj	Pic_épeiche
Lco	Pie-Grièche_écorcheur
Fco	Pinson_des_arbres
Lmg	Rossignol_philomèle
Pph	Rougequeue_à_front_blanc
Sca	Serin_cini
Seu	Sittelle_torchepot
Jto	Torcol_fourmilier
Cch	Verdier_d'Europe
Pce	Mésange_bleue
Pdo	Moineau_domestique
Poc	Rougequeue_noir
Cco	Gros-bec_casse-noyaux
Pat	Mésange_noire
Eru	Rougegorge_familier
Hru	Hirondelle_de_cheminée
Pmo	Mésange_boréale
Ttr	Troglodyte_mignon
Eho	Bruant_ortolan
Ccr	Corneille_noire
Sbo	Fauvette_des_jardins
Tvi	Grive_draine
Eci	Bruant_fou
Ecl	Bruant_zizi
Pbo	Pouillot_de_Bonelli
Ccn	Coucou_gris
Sru	Traquet_tarier
Aar	Alouette_des_champs
Mca	Bruant_proyer
Apl	Canard_colvert
Fti	Faucon_crécerelle
Tpi	Grive_litorne
Uep	Huppe_fasciée
Pmt	Moineau_friquet
Pvi	Pic_vert
Atr	Pipit_des_arbres
Pco	Pouillot_véloce
Tph	Grive_musicienne
Aca	Linotte_mélodieuse
Apa	Rousserolle_verderolle
Ppa	Mésange_nonnette
Ccx	Grand_Corbeau
Dur	Hirondelle_de_fenêtre
Ppy	Bouvreuil_pivoine
Rre	Roitelet_huppé
Rig	Roitelet_triple_bandeau
Sco	Fauvette_grisette
Sto	Traquet_pâtre
Ect	Bruant_jaune
Oor	Loriot_d'Europe
Ggl	Geai_des_chênes
Mst	Gobemouche_gris
Fhy	Gobemouche_noir
Pcr	Mésange_huppée
Lar	Alouette_lulu
Bbu	Buse_variable
Ani	Epervier_d'Europe
Ppi	Pie_bavarde
Pmd	Accenteur_mouchet
Acd	Mésange_à__longue_queue
Psi	Pouillot_siffleur
Ptr	Pouillot_fitis
Mmi	Milan_noir
Lcu	Bec-croisé_des_sapins
Cmo	Choucas_des_tours
Cfa	Grimpereau_des_bois
Dmi	Pic_épeichette
Cct	Caille_des_blés
Cpl	Pigeon_ramier
Hrp	Hirondelle_de_rochers
Cci	Venturon_montagnad
Afl	Sizerin_flammé
Pap	Bondrée_apivore
Dmt	Pic_noir
Tto	Merle_à_plastron
Asp	Pipit_spioncelle
Mci	Bergeronnette_des_ruisseaux
Lte	Tétras_lyre
Scu	Fauvette_babillarde
Ppx	Crave_à_bec_rouge
Ooe	Traquet_motteux
Nca	Casse-noix_moucheté
Pcl	Accenteur_alpin
Pgr	Chocard_à_bec_jaune
Ccl	Cincle_plongeur
Msa	Merle_de_roche
Ach	Aigle_royal
Mni	Niverolle_alpine
Lmu	Lagopède_alpin
Tmu	Tichodrome_échelette
