Code	di.inv	di.ver	di.car	di.see	di.fru	fo.air	fo.fol	fo.tru	fo.gro	ne.foi	ne.tru	ne.roc	ne.gro	size.1	size.2	size.3	size.4	size.5	inv.1	inv.2	inv.3	inv.4	inv.5	inv.6	seden	migra.1	migra.2	migra.3	migra.4
Mal	1	0	0	0	0	0.33	0	0	0.67	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Cca	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Svu	0.4	0	0	0.2	0.4	0	0.33	0	0.67	0	0.5	0.5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Sat	0.5	0	0	0	0.5	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Cbr	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Aap	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
Tme	0.5	0	0	0	0.5	0.33	0	0	0.67	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
Pma	0.4	0	0	0.2	0.4	0	0.67	0.33	0	0	0.33	0.67	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Dmj	0.5	0	0	0.5	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Lco	0.5	0.25	0	0	0.25	0.2	0.4	0	0.4	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Fco	0.33	0	0	0.67	0	0	0.33	0	0.67	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Lmg	0.67	0	0	0	0.33	0.33	0	0	0.67	0.5	0	0	0.5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Pph	0.67	0	0	0	0.33	0.5	0	0	0.5	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Sca	0	0	0	1	0	0	0.33	0	0.67	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Seu	0.5	0	0	0.5	0	0	0	1	0	0.25	0.25	0.5	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Jto	1	0	0	0	0	0	0	0.33	0.67	0	0.67	0.33	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
Cch	0	0	0	0.67	0.33	0	0.5	0	0.5	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Pce	0.67	0	0	0.33	0	0	1	0	0	0	0.33	0.67	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Pdo	0.25	0	0	0.5	0.25	0	0.33	0	0.67	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
Poc	0.67	0	0	0	0.33	0.33	0	0	0.67	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Cco	0.33	0	0	0.67	0	0	0.67	0	0.33	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Pat	0.5	0	0	0.5	0	0	0.5	0.25	0.25	0	0.33	0.67	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Eru	0.67	0	0	0.33	0	0.33	0	0	0.67	0	0	0.33	0.67	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Hru	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Pmo	0.67	0	0	0.33	0	0	0.67	0	0.33	0	0.67	0.33	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Ttr	1	0	0	0	0	0	0.33	0	0.67	0.33	0	0.67	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Eho	0.33	0	0	0.67	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Ccr	0.2	0.2	0.2	0.2	0.2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Sbo	0.5	0	0	0	0.5	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Tvi	0.5	0	0	0	0.5	0.33	0	0	0.67	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
Eci	0.33	0	0	0.67	0	0	0	0	1	0.33	0	0	0.67	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Ecl	0.33	0	0	0.67	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Pbo	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Ccn	1	0	0	0	0	0	1	0	0	0.5	0	0	0.5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
Sru	1	0	0	0	0	0.5	0	0	0.5	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Aar	0.5	0	0	0.5	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Mca	0.33	0	0	0.67	0	0	0.33	0	0.67	0.5	0	0	0.5	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Apl	0.5	0	0	0.5	0	0	0	0	1	0	0.33	0	0.67	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Fti	0.33	0.67	0	0	0	0.33	0	0	0.67	0	0.5	0.5	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
Tpi	0.5	0	0	0	0.5	0.33	0	0	0.67	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Uep	1	0	0	0	0	0	0	0	1	0	0.5	0.5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Pmt	0.5	0	0	0.5	0	0	0.33	0	0.67	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Pvi	1	0	0	0	0	0	0	0.33	0.67	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Atr	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Pco	0.67	0	0	0.33	0	0	1	0	0	0.67	0	0	0.33	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Tph	0.67	0	0	0	0.33	0.33	0	0	0.67	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Aca	0	0	0	1	0	0	0.33	0	0.67	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Apa	0.67	0	0	0	0.33	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Ppa	0.33	0	0	0.67	0	0	0.67	0	0.33	0	0.5	0.5	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Ccx	0.22	0.22	0.22	0.12	0.22	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Dur	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Ppy	0	0	0	1	0	0	0.67	0	0.33	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Rre	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Rig	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Sco	0.67	0	0	0	0.33	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Sto	1	0	0	0	0	0.67	0	0	0.33	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Ect	0.33	0	0	0.67	0	0	0	0	1	0.5	0	0	0.5	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Oor	0.5	0	0	0	0.5	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Ggl	0.25	0.25	0	0.5	0	0	0.5	0	0.5	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Mst	0.67	0	0	0	0.33	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Fhy	0.67	0	0	0	0.33	0.33	0.33	0	0.34	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Pcr	0.67	0	0	0.33	0	0	0.67	0.33	0	0	0.33	0.67	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Lar	0.67	0	0	0.33	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Bbu	0.25	0.5	0.25	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Ani	0	1	0	0	0	0.5	0.5	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Ppi	0.25	0.25	0.13	0.25	0.12	0.5	0	0	0.5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Pmd	0.33	0	0	0.67	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Acd	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Psi	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Ptr	0.67	0	0	0	0.33	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Mmi	0.25	0.25	0.5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Lcu	0.33	0	0	0.67	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Cmo	0.29	0	0.13	0.29	0.29	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Cfa	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Dmi	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Cct	0.33	0	0	0.67	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
