alti	phot	roch	habi	eau	neig	pent	arbrp	arbrf	arbup	arbuf	buip	buif	herb
A0600	5	0	0	0	0	1	0	1	0	2	0	1	3
A0600	3	0	1	1	0	0	0	1	0	1	0	1	3
A0600	5	0	0	0	0	3	0	2	0	2	0	2	1
A0600	5	0	2	0	0	2	0	1	0	1	0	1	2
A0600	3	0	0	0	0	1	0	1	0	2	0	2	3
A0600	3	0	0	0	0	0	0	1	0	1	0	2	2
A0600	5	0	0	0	0	2	0	0	0	1	0	1	3
A0600	2	0	0	0	0	1	0	0	0	1	0	1	3
A0600	4	0	2	0	0	2	0	1	0	1	0	1	2
A0600	3	0	0	1	0	0	0	1	0	1	0	1	3
A0600	4	0	0	1	0	2	0	1	0	1	0	1	3
A0600	2	0	0	1	0	1	0	1	0	1	0	1	2
A0600	3	0	1	0	0	1	0	1	0	1	0	1	3
A0600	1	0	0	0	0	2	0	1	0	1	0	1	3
A0600	3	0	1	0	0	1	1	1	0	2	0	0	3
A0600	5	0	0	1	0	2	0	0	0	1	0	1	3
A0600	3	0	0	1	0	0	0	1	0	1	0	1	3
A0750	2	0	2	0	0	1	0	0	0	1	0	1	2
A0750	2	0	0	0	0	3	2	1	1	2	0	2	1
A0750	3	0	0	0	0	3	0	1	0	2	0	2	2
A0750	3	0	0	1	0	1	0	1	0	2	0	2	3
A0750	3	0	1	1	0	1	1	1	0	2	0	1	2
A0750	5	0	0	0	0	2	0	0	0	1	0	2	2
A0750	3	0	0	0	0	1	0	1	0	1	0	1	3
A0750	4	0	2	0	0	2	0	1	0	2	0	3	3
A0750	3	0	0	0	0	0	0	1	0	1	0	1	3
A0750	3	0	0	0	0	0	0	1	0	1	0	1	3
A0750	4	0	0	0	0	3	0	1	0	1	0	1	2
A0750	5	0	0	0	0	2	0	1	0	2	0	1	3
A0750	5	0	1	0	0	3	0	1	0	2	0	2	3
A0750	2	0	1	0	0	1	1	1	0	1	0	0	2
A0750	4	0	1	1	0	1	0	1	0	1	0	1	3
A0750	2	0	1	0	0	1	2	1	0	2	0	2	1
A0750	1	0	0	0	0	2	1	1	1	2	0	1	1
A0750	5	0	0	0	0	2	0	2	0	2	0	3	2
A0750	5	0	0	0	0	2	0	1	0	2	0	1	3
A0750	2	0	0	0	0	3	2	1	0	1	1	1	1
A0750	5	0	0	0	0	2	0	0	0	2	0	1	3
A0750	2	0	0	0	0	2	1	1	1	2	1	2	1
A0750	5	0	1	0	0	2	0	0	0	1	0	1	3
A0750	5	0	0	0	0	3	0	2	1	1	0	1	2
A0750	1	0	0	1	0	2	1	2	0	1	0	0	1
A0750	2	0	0	0	0	2	0	1	0	2	0	1	3
A0750	2	0	0	1	0	3	0	2	1	2	0	2	2
A0750	4	1	1	0	0	3	0	1	0	1	0	1	3
A0750	1	0	0	0	0	2	2	1	0	2	0	1	1
A0750	2	0	0	0	0	2	0	0	1	1	0	1	3
A0750	4	1	0	0	0	3	0	1	0	1	0	1	1
A0900	3	0	0	0	0	3	0	1	0	2	0	1	2
A0900	2	1	2	0	0	3	0	0	0	1	0	2	2
A0900	2	0	2	0	0	2	0	0	0	2	0	2	3
A0900	2	0	1	0	0	2	0	1	0	1	0	0	2
A0900	2	0	0	0	0	3	1	1	1	1	1	0	1
A0900	5	1	0	0	0	3	0	1	0	1	0	1	3
A0900	5	0	2	1	0	2	0	1	0	1	0	2	3
A0900	5	0	0	0	0	3	0	1	0	2	0	2	3
A0900	4	0	0	1	0	3	0	1	0	2	0	3	3
A0900	5	0	0	0	0	2	0	1	0	2	0	1	3
A0900	3	0	0	1	0	2	1	1	0	1	0	1	1
A0900	5	0	1	0	0	2	0	1	0	1	0	1	3
A0900	5	0	1	1	0	4	0	2	0	2	0	3	3
A0900	2	0	0	1	0	2	1	0	1	1	1	1	3
A0900	1	0	0	0	0	2	0	1	0	1	0	1	3
A0900	4	0	0	0	0	2	0	1	0	1	0	1	3
A0900	5	0	0	1	0	2	0	1	0	2	0	0	2
A0900	5	0	2	0	0	3	0	1	0	2	0	2	3
A0900	2	0	0	0	0	2	2	0	0	1	0	2	2
A0900	4	0	0	1	0	3	0	1	0	2	0	2	2
A0900	2	0	0	0	0	4	1	0	1	1	1	1	1
A0900	1	0	0	0	0	2	3	0	1	1	0	1	1
A0900	2	0	0	0	0	3	0	1	0	2	0	1	3
A0900	4	0	0	1	0	3	1	1	0	1	0	1	2
A1050	2	0	0	0	0	2	1	1	0	1	0	0	3
A1050	2	0	0	1	0	3	1	0	0	1	0	1	3
A1050	3	0	2	0	0	2	0	1	0	2	0	1	3
A1050	3	0	0	0	0	4	0	1	0	2	0	2	3
A1050	1	0	2	0	0	2	0	1	0	2	0	1	3
A1050	2	0	2	0	0	1	0	1	0	1	0	1	1
A1050	5	0	0	0	0	3	0	1	0	2	0	1	2
A1050	4	0	1	0	0	2	0	1	0	1	0	2	3
A1050	3	0	0	0	0	3	0	1	0	2	0	1	2
A1050	5	0	0	0	0	2	0	1	0	1	0	1	3
A1050	1	0	0	1	0	2	0	1	0	1	0	1	2
A1050	4	0	0	0	0	2	0	1	0	1	0	1	3
A1050	4	0	1	0	0	2	0	1	0	1	1	1	3
A1050	3	0	0	1	0	3	0	1	1	2	0	2	3
A1050	3	0	2	1	0	2	0	1	0	1	0	0	2
A1050	4	0	0	0	0	3	0	1	0	1	0	1	3
A1050	1	0	1	0	0	2	1	0	0	1	0	1	3
A1050	3	0	2	0	0	3	0	1	0	1	0	1	3
A1050	1	0	2	0	0	2	0	1	0	0	0	1	0
A1050	5	0	0	1	0	1	0	1	0	1	0	1	3
A1050	5	0	0	0	0	3	0	1	0	1	0	1	3
A1200	5	0	0	0	0	3	0	1	1	1	1	1	3
A1200	5	0	0	0	0	2	0	1	0	1	0	1	3
A1200	5	0	2	0	0	2	0	1	0	0	0	1	0
A1200	5	0	0	0	0	2	0	1	0	1	0	2	3
A1200	4	0	0	0	0	2	0	1	0	1	0	1	3
A1200	1	0	2	0	0	1	0	1	0	1	0	0	0
A1200	3	0	0	0	0	3	1	1	1	2	0	3	2
A1200	4	0	0	0	0	2	0	1	0	2	0	1	3
A1200	1	0	0	0	0	3	3	0	1	1	0	2	2
A1200	1	0	0	1	0	1	0	1	0	1	0	1	3
A1200	1	1	1	0	0	2	1	0	0	1	0	1	2
A1200	5	0	0	0	0	2	0	1	0	1	0	1	3
A1200	3	0	0	0	0	3	1	0	0	2	1	1	2
A1200	2	0	2	0	0	1	0	1	0	1	0	0	0
A1200	5	1	0	0	0	2	0	0	0	1	0	0	3
A1200	1	0	0	1	0	4	2	0	1	2	0	2	1
A1200	1	0	0	0	0	4	2	1	1	2	1	1	1
A1200	3	0	0	1	0	2	0	2	0	1	0	1	2
A1200	5	0	0	0	0	2	0	1	1	1	0	1	3
A1200	3	0	0	0	0	2	1	0	1	2	0	1	3
A1200	3	0	0	0	0	2	2	0	1	1	0	1	3
A1200	5	0	0	0	0	2	0	1	0	1	0	1	2
A1200	1	0	0	0	0	3	3	0	1	1	0	2	1
A1200	3	0	0	0	0	2	0	1	0	1	0	1	3
A1350	5	0	0	1	0	2	0	0	0	1	0	1	2
A1350	1	0	0	0	0	3	1	0	0	2	0	1	3
A1350	5	0	0	0	0	2	0	1	0	1	0	1	3
A1350	3	0	0	0	0	3	3	0	1	1	0	1	2
A1350	1	0	0	1	0	3	1	1	0	1	0	2	2
A1350	2	0	0	1	0	3	3	0	1	1	0	1	2
A1350	3	0	1	0	0	2	1	0	0	1	0	1	3
A1350	2	0	1	0	0	2	0	1	0	1	0	1	2
A1350	5	0	0	1	0	2	1	0	0	1	0	1	3
A1350	2	0	0	0	0	3	2	0	1	2	1	1	2
A1350	3	0	0	1	0	2	0	1	0	1	0	1	3
A1350	4	0	0	0	0	2	0	1	0	2	0	1	3
A1350	2	1	0	0	0	2	0	1	0	1	0	2	3
A1350	4	1	2	0	0	2	0	1	0	1	0	1	3
A1350	3	0	1	0	0	2	3	0	1	1	1	1	2
A1350	4	0	2	0	0	2	0	1	0	1	0	0	0
A1350	2	0	1	0	0	2	1	0	0	1	0	1	2
A1350	1	0	0	0	0	3	1	0	1	1	0	2	3
A1350	3	0	1	1	0	2	1	0	0	1	0	1	3
A1350	2	0	0	0	0	3	2	0	1	2	1	1	2
A1350	2	0	0	0	0	2	3	0	1	1	1	0	2
A1350	5	0	0	0	0	2	0	1	0	1	0	1	3
A1350	4	0	0	1	0	2	2	0	1	0	1	1	3
A1350	1	0	0	1	0	1	0	1	0	2	0	2	2
A1350	5	0	0	0	0	2	0	0	0	1	0	1	2
A1500	4	0	1	1	0	2	0	1	0	1	0	2	3
A1500	5	1	0	0	0	4	0	1	0	2	0	2	3
A1500	3	1	1	1	0	2	0	2	0	2	0	1	3
A1500	1	0	1	0	0	2	1	0	0	2	0	2	2
A1500	2	0	0	0	0	2	2	0	1	2	0	2	2
A1500	3	0	0	1	0	0	0	1	0	1	0	1	3
A1500	1	0	0	0	0	2	3	0	1	2	0	2	2
A1500	2	0	0	1	0	4	3	0	1	1	0	2	2
A1500	3	0	0	1	0	2	1	0	0	1	0	2	3
A1500	2	1	0	1	0	2	0	1	1	2	0	3	1
A1500	1	1	0	0	0	1	0	1	0	1	0	1	3
A1500	3	0	1	0	0	1	0	1	0	1	0	1	3
A1500	1	0	1	0	0	3	2	0	1	1	1	1	2
A1500	3	1	0	0	0	2	0	1	0	1	0	1	3
A1500	1	1	1	0	0	2	0	1	0	1	0	1	3
A1500	1	0	0	0	0	2	3	0	1	2	1	1	2
A1500	2	0	0	0	0	3	2	0	1	1	0	1	2
A1500	4	0	0	1	0	1	2	0	0	1	1	1	3
A1500	3	1	1	1	0	2	1	0	0	1	0	1	3
A1500	2	0	0	0	0	3	1	1	1	2	1	1	2
A1500	3	0	0	0	0	3	2	0	1	2	1	1	3
A1500	2	0	0	0	0	3	2	0	0	1	0	1	2
A1500	3	0	1	0	0	1	0	1	0	1	0	1	3
A1500	5	0	0	0	0	2	0	0	0	0	0	0	2
A1500	2	0	0	0	0	3	3	0	1	2	0	1	2
A1650	4	0	0	0	0	2	0	0	0	0	0	1	3
A1500	3	1	1	1	0	1	0	1	0	1	0	1	3
A1500	5	0	0	0	0	3	2	0	1	2	0	2	2
A1500	3	0	0	0	0	2	2	0	0	1	0	1	3
A1500	2	0	0	0	0	3	2	0	1	2	0	2	2
A1500	5	0	0	0	0	2	3	0	1	1	0	1	3
A1500	1	0	0	0	0	4	3	0	0	0	0	0	2
A1500	2	0	0	0	0	4	2	0	1	1	0	1	1
A1500	2	0	1	1	0	1	1	2	0	1	0	1	3
A1500	5	1	0	0	0	1	0	0	0	0	0	0	2
