Chr_ID	Organism_name	Size_kb	Orfs	Chromosome_count	Gc_content	Latitude	Longitude	Temperature	Sequencing_depth	Disease	intergenic_ratio
AaciA01	Alicyclobacillus acidocaldarius acidocaldarius 104-IA. DSM 446	3018	3032	1	62	44.376	-110.69	60	34.4	0	0.1181884585
AbauD01	Acinetobacter baumannii ACICU	3904	3841	1	39	41.895466	12.482324	37	23	2	0.1267293287
AcapA01	Acidobacterium capsulatum ATCC 51196	4127	3492	1	60.5	34.93171	134.082527	30	10	0	0.1341270295
AcelA01	Acidothermus cellulolyticus 11B	2443	2266	1	66.9	44.393704	-110.567703	58	18	0	0.1012977074
AcfeA01	Acidimicrobium ferrooxidans ICP, DSM 10331	2158	2092	1	68	63.93	-22.1	48	72.6	0	0.1090578674
AmirA01	Actinosynnema mirum 101, DSM 43827	8248	7177	1	73.7	40.491816	-74.322087	20	28.9	0	0.1281765934
AsucA01	Actinobacillus succinogenes 130Z	2319	2276	1	44	44.6264	-85.6091	37	10	0	0.1208722991
BcavA01	Beutenbergia cavernae HKI 0122. DSM 12333	4669	4278	1	73	25.307	110.263	28	19.42	0	0.0758119782
BfraA01	Bacteroides fragilis YCH46	5277	4730	1	43.3	34.3039	131.4724	37	8.1	2	0.0986857988
BfraB01	Bacteroides fragilis NCTC 9343	5205	4409	1	43.2	51.5849	-0.1272	37	10	2	0.1180940378
BmicA01	Brucella microti CCM 4915	3337	3291	2	57	48.991572	16.767425	37	25	1	0.132900797
BuphA01	Burkholderia phytofirmans PsJN	8093	7487	2	62	47.9615	16.5171	30	10.9	0	0.146360503
BxenA01	Burkholderia xenovorans (fungorum) LB400	9279	9119	3	62	43.24	-73.6678	30	16	1	0.1386878904
CaacA01	Catenulispora acidiphila ID139908, DSM 44928	10467	9125	1	70	45.640618	9.002209	25	10	0	0.112673917
CaciA01	Candidatus Cloacamonas acidaminovorans 	2246	1820	1	37.9	48.616667	2.464817	33	10.9	0	0.129908938
CdifA01	Clostridium difficile 630 (epidemic type X)	4290	3989	1	29	47.3775	8.5396	37	10	3	0.1719577312
ChutA01	Cytophaga hutchinsonii ATCC 33406	4433	3880	1	39	37.7539	126.4882	30	15	0	0.0988776099
CphyA01	Clostridium phytofermentans ISDg	4847	4076	1	35.9	42.404699	-72.308526	37	13	0	0.1814586783
CpinA01	Chitinophaga pinensis UQM 2034, DSM 2588	9127	7397	1	45	-27.424	153	23	27.3	0	0.1154649867
DaceA01	Desulfotomaculum acetoxidans 5575, DSM 771	4545	4470	1	41	51.533	9.933	36	8.56	0	0.192221134
DferA01	Dyadobacter fermentans NS114, DSM 18053	6967	5855	1	51.5	43.1	-89.4	28	10.6	0	0.1023480903
DgeoA01	Deinococcus geothermalis DSM11300	2467	3207	1	66	40.833568	14.162399	47	8	0	0.0973923934
DredA01	Desulfotomaculum reducens MI-1	3608	3452	1	43	38.067222	-122.25	37	12	0	0.1665536803
DretA01	Desulfohalobium retbaense DSM 5692	2864	2559	1	57.3	14.83	-17.23	38	10.7	0	0.1479067864
DshiA01	Dinoroseobacter shibae DFL-12	3789	4321	1	65	35.648504	139.763947	33	12	0	0.0970552441
DturA01	Dictyoglomus turgidum DSM 6724	1855	1744	1	33	54.517335	159.973068	75	6	0	0.0722434198
EcolD01	Escherichia coli O6:K2:H1 CFT073 (UPEC)	5231	5664	1	50.5	39.294255	-76.614275	37	7	3	0.0932361107
